Data set,"Top 500 authors, by Scholarly Output"
Entity,"Australia"
Year range,2012 to 2021
Subject classification,"FOR"
Filtered by,"Built Environment And Design"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,22 June 2022
Date exported,4 July 2022

Name,Scholarly Output,Most recent publication,Citations,Citations per Publication,Field-Weighted Citation Impact,h-index,Scopus author ID,Scopus author profile
"Guaralda, Mirko",26,2021,435,16.7,1.96,14.0,55377927300,https://www.scopus.com/authid/detail.url?authorId=55377927300
"Wu, Chengqing",26,2021,739,28.4,2.21,41.0,55655692100,https://www.scopus.com/authid/detail.url?authorId=55655692100
"Osei-Kyei, Robert",26,2021,275,10.6,1.34,18.0,56538672500,https://www.scopus.com/authid/detail.url?authorId=56538672500
"Li, Xiangdong",26,2020,586,22.5,1.48,21.0,57190485650,https://www.scopus.com/authid/detail.url?authorId=57190485650
"Hulse, Kath",26,2021,390,15.0,1.99,17.0,57203028562,https://www.scopus.com/authid/detail.url?authorId=57203028562
"Sugiyama, Takemi",26,2021,839,32.3,2.47,46.0,57217248023,https://www.scopus.com/authid/detail.url?authorId=57217248023
"Tonts, Matthew",26,2021,629,24.2,1.80,24.0,6602841653,https://www.scopus.com/authid/detail.url?authorId=6602841653
"Argent, Neil M.",26,2021,703,27.0,2.16,24.0,6603709019,https://www.scopus.com/authid/detail.url?authorId=6603709019
"Rowley, Steven",26,2021,206,7.9,0.99,11.0,7006249092,https://www.scopus.com/authid/detail.url?authorId=7006249092
"Klocker, Natascha",26,2021,281,10.8,1.48,18.0,8222502100,https://www.scopus.com/authid/detail.url?authorId=8222502100
"Gorman-Murray, Andrew",25,2021,491,19.6,2.43,27.0,11540571700,https://www.scopus.com/authid/detail.url?authorId=11540571700
"Tang, W. C.",25,2021,814,32.6,2.02,29.0,24802547200,https://www.scopus.com/authid/detail.url?authorId=24802547200
"Zillante, George",25,2020,539,21.6,1.64,32.0,34168518900,https://www.scopus.com/authid/detail.url?authorId=34168518900
"Chen, Wensu",25,2021,558,22.3,1.98,27.0,54880322000,https://www.scopus.com/authid/detail.url?authorId=54880322000
"Alfred Olatunji, Oluwole",25,2021,380,15.2,1.21,13.0,55260238100,https://www.scopus.com/authid/detail.url?authorId=55260238100
"Niu, Jianlei",25,2021,924,37.0,3.01,53.0,55497019700,https://www.scopus.com/authid/detail.url?authorId=55497019700
"Alizadeh, Tooran",25,2021,316,12.6,1.39,12.0,55505839700,https://www.scopus.com/authid/detail.url?authorId=55505839700
"Feng, Yingbin",25,2021,642,25.7,2.45,16.0,55936446400,https://www.scopus.com/authid/detail.url?authorId=55936446400
