Data set,"Top 500 authors, by Scholarly Output"
Entity,"Australia"
Year range,2012 to 2021
Subject classification,"FOR"
Filtered by,"Built Environment And Design"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,22 June 2022
Date exported,4 July 2022

Name,Scholarly Output,Most recent publication,Citations,Citations per Publication,Field-Weighted Citation Impact,h-index,Scopus author ID,Scopus author profile
"Hajimohammadi, Ailar",13,2021,437,33.6,3.07,21.0,25927917700,https://www.scopus.com/authid/detail.url?authorId=25927917700
"Lucke, Terry",13,2017,397,30.5,1.11,19.0,26534790900,https://www.scopus.com/authid/detail.url?authorId=26534790900
"Mirzababaei, Mehdi",13,2021,329,25.3,2.00,20.0,35076385800,https://www.scopus.com/authid/detail.url?authorId=35076385800
"Higgins, David M.",13,2017,70,5.4,0.74,7.0,35077149200,https://www.scopus.com/authid/detail.url?authorId=35077149200
"Gilbert, Benoit P.",13,2021,124,9.5,0.78,17.0,35179225700,https://www.scopus.com/authid/detail.url?authorId=35179225700
"Alam, Morshed",13,2021,442,34.0,2.03,18.0,35344469200,https://www.scopus.com/authid/detail.url?authorId=35344469200
"Clark, Gordon L.",13,2018,146,11.2,0.99,29.0,35606454600,https://www.scopus.com/authid/detail.url?authorId=35606454600
"Rose, Timothy Michael",13,2020,407,31.3,2.78,15.0,35728998400,https://www.scopus.com/authid/detail.url?authorId=35728998400
"Rashidi, Maria",13,2021,153,11.8,4.54,12.0,36350170200,https://www.scopus.com/authid/detail.url?authorId=36350170200
"Nematollahi, Behzad",13,2021,779,59.9,5.19,25.0,36490393800,https://www.scopus.com/authid/detail.url?authorId=36490393800
"Siew, Renard Yung Jhien R.",13,2020,163,12.5,0.60,8.0,36543035800,https://www.scopus.com/authid/detail.url?authorId=36543035800
"Goodman, Robin",13,2021,92,7.1,0.59,11.0,36784787100,https://www.scopus.com/authid/detail.url?authorId=36784787100
"Parsons, Miles J.G.",13,2017,144,11.1,0.79,16.0,36937982200,https://www.scopus.com/authid/detail.url?authorId=36937982200
"Phillips, Rhonda",13,2019,80,6.2,0.89,8.0,37014687000,https://www.scopus.com/authid/detail.url?authorId=37014687000
"Payne, Alice",13,2021,63,4.8,1.70,7.0,51061558300,https://www.scopus.com/authid/detail.url?authorId=51061558300
"Wrigley, Cara",13,2021,154,11.8,1.87,15.0,55178317200,https://www.scopus.com/authid/detail.url?authorId=55178317200
"Rachele, Jerome N.",13,2021,123,9.5,1.30,12.0,55358310500,https://www.scopus.com/authid/detail.url?authorId=55358310500
"Yu, Rongrong",13,2021,92,7.1,1.51,7.0,55430670400,https://www.scopus.com/authid/detail.url?authorId=55430670400
"Irga, Peter J.",13,2021,323,24.8,1.78,18.0,55503091300,https://www.scopus.com/authid/detail.url?authorId=55503091300
"Hasan, Abid",13,2021,154,11.8,1.75,8.0,55626991900,https://www.scopus.com/authid/detail.url?authorId=55626991900
"Dressler, Wolfram H.",13,2021,215,16.5,2.70,27.0,56072132200,https://www.scopus.com/authid/detail.url?authorId=56072132200
"Ferdous, Wahid",13,2021,470,36.2,3.44,27.0,56165937900,https://www.scopus.com/authid/detail.url?authorId=56165937900
"Warren, Clive M.J.",13,2019,72,5.5,0.50,9.0,56375131600,https://www.scopus.com/authid/detail.url?authorId=56375131600
"Van Der Hoorn, Bronte",13,2021,145,11.2,1.09,8.0,56401915300,https://www.scopus.com/authid/detail.url?authorId=56401915300
"Pasupathy, Kirubajiny",13,2021,348,26.8,4.09,11.0,57190854438,https://www.scopus.com/authid/detail.url?authorId=57190854438
"Newaz, Mohammad Tanvi",13,2021,165,12.7,2.18,8.0,57191074153,https://www.scopus.com/authid/detail.url?authorId=57191074153
"Illankoon, Chethana",13,2021,168,12.9,1.14,11.0,57192313787,https://www.scopus.com/authid/detail.url?authorId=57192313787
"Raynor, Katrina Eve",13,2021,82,6.3,1.31,7.0,57193745948,https://www.scopus.com/authid/detail.url?authorId=57193745948
"Hui, Felix Kin Peng",13,2021,211,16.2,1.54,10.0,57194243608,https://www.scopus.com/authid/detail.url?authorId=57194243608
"Morris, Alan",13,2021,126,9.7,1.26,15.0,57196263023,https://www.scopus.com/authid/detail.url?authorId=57196263023
"Drogemuller, Robin M.",13,2021,286,22.0,2.22,14.0,6506052432,https://www.scopus.com/authid/detail.url?authorId=6506052432
"Torpy, Fraser R.",13,2021,331,25.5,1.84,25.0,6508284707,https://www.scopus.com/authid/detail.url?authorId=6508284707
"Biswas, Wahidul Karim",13,2021,251,19.3,1.57,22.0,6602349968,https://www.scopus.com/authid/detail.url?authorId=6602349968
"Khennane, Amar",13,2021,409,31.5,1.43,19.0,6602364961,https://www.scopus.com/authid/detail.url?authorId=6602364961
"Mulley, Corinne",13,2020,510,39.2,2.13,30.0,6603085894,https://www.scopus.com/authid/detail.url?authorId=6603085894
"Tapper, Nigel J.",13,2021,370,28.5,2.57,39.0,6701744876,https://www.scopus.com/authid/detail.url?authorId=6701744876
"Bridge, Adrian J.",13,2018,289,22.2,1.23,13.0,7003807958,https://www.scopus.com/authid/detail.url?authorId=7003807958
"Rolfe, John",13,2020,131,10.1,0.77,29.0,7004428803,https://www.scopus.com/authid/detail.url?authorId=7004428803
"Clegg, Stewart",13,2020,349,26.8,2.40,44.0,7101683003,https://www.scopus.com/authid/detail.url?authorId=7101683003
"Barnett, Jon",13,2021,440,33.8,2.97,37.0,7201380392,https://www.scopus.com/authid/detail.url?authorId=7201380392
"Pope, Jenny",13,2021,630,48.5,3.34,21.0,7202649497,https://www.scopus.com/authid/detail.url?authorId=7202649497
"Chan, Tommy H.T.",13,2021,135,10.4,0.75,39.0,7402687570,https://www.scopus.com/authid/detail.url?authorId=7402687570
"Killen, Catherine P.",13,2021,445,34.2,2.55,16.0,8365607700,https://www.scopus.com/authid/detail.url?authorId=8365607700
"Rossini, Peter",13,2021,41,3.2,0.38,8.0,8594198200,https://www.scopus.com/authid/detail.url?authorId=8594198200
"Wang, Xu",12,2021,80,6.7,0.51,24.0,11042535700,https://www.scopus.com/authid/detail.url?authorId=11042535700
"Everingham, Jo Anne",12,2020,157,13.1,1.01,14.0,12762470800,https://www.scopus.com/authid/detail.url?authorId=12762470800
"Drozdzewski, D.",12,2018,189,15.8,1.60,15.0,12774815900,https://www.scopus.com/authid/detail.url?authorId=12774815900
"Allan, Andrew",12,2021,137,11.4,0.87,11.0,14065913400,https://www.scopus.com/authid/detail.url?authorId=14065913400
"Whittaker, Joshua",12,2021,183,15.3,1.50,18.0,16641204700,https://www.scopus.com/authid/detail.url?authorId=16641204700
"Naderpajouh, Nader",12,2021,107,8.9,1.08,12.0,24069063700,https://www.scopus.com/authid/detail.url?authorId=24069063700
"Tan, Yongtao",12,2021,139,11.6,1.66,28.0,24173519000,https://www.scopus.com/authid/detail.url?authorId=24173519000
"Charles-Edwards, Elin",12,2021,64,5.3,0.51,12.0,24329278600,https://www.scopus.com/authid/detail.url?authorId=24329278600
"Grodach, Carl",12,2021,295,24.6,2.40,19.0,24460722400,https://www.scopus.com/authid/detail.url?authorId=24460722400
"Warren, Andrew",12,2021,150,12.5,1.28,14.0,24773973000,https://www.scopus.com/authid/detail.url?authorId=24773973000
"Bernal, Susan A.",12,2014,2410,200.8,5.93,53.0,25621436100,https://www.scopus.com/authid/detail.url?authorId=25621436100
"Aravinthan, Thiru",12,2021,390,32.5,2.03,27.0,25637257700,https://www.scopus.com/authid/detail.url?authorId=25637257700
"Pinnegar, Simon",12,2021,155,12.9,1.41,11.0,26028073300,https://www.scopus.com/authid/detail.url?authorId=26028073300
"Sahin, Oz",12,2021,173,14.4,1.61,24.0,35749183900,https://www.scopus.com/authid/detail.url?authorId=35749183900
"Vimonsatit, Vanissorn",12,2021,121,10.1,0.72,13.0,6505764697,https://www.scopus.com/authid/detail.url?authorId=6505764697
"Belusko, Martin",12,2018,495,41.3,2.06,32.0,6506014654,https://www.scopus.com/authid/detail.url?authorId=6506014654
"Imteaz, Monzur Alam",12,2021,269,22.4,1.40,29.0,6506146119,https://www.scopus.com/authid/detail.url?authorId=6506146119
"Molesworth, Brett RC.",12,2020,190,15.8,1.25,13.0,6506721324,https://www.scopus.com/authid/detail.url?authorId=6506721324
"Habibis, Daphne",12,2021,82,6.8,1.02,9.0,6507388185,https://www.scopus.com/authid/detail.url?authorId=6507388185
"Koppel, Sjaan",12,2021,65,5.4,0.79,22.0,6602280124,https://www.scopus.com/authid/detail.url?authorId=6602280124
"Pathegama Gamage, Ranjith",12,2021,149,12.4,1.05,70.0,6602607278,https://www.scopus.com/authid/detail.url?authorId=6602607278
"Herbohn, John L.",12,2021,295,24.6,2.42,24.0,6603005931,https://www.scopus.com/authid/detail.url?authorId=6603005931
"Sarvi, Majid",12,2021,308,25.7,2.49,38.0,6603291145,https://www.scopus.com/authid/detail.url?authorId=6603291145
"Stratford, Elaine",12,2021,70,5.8,0.97,17.0,6701489362,https://www.scopus.com/authid/detail.url?authorId=6701489362
"Marinova, Dora",12,2020,144,12.0,1.22,24.0,6701561637,https://www.scopus.com/authid/detail.url?authorId=6701561637
"Karunasena, Warna M.",12,2020,192,16.0,0.88,27.0,6701793150,https://www.scopus.com/authid/detail.url?authorId=6701793150
"Mcevoy, Darryn",12,2021,1100,91.7,6.87,18.0,7003602195,https://www.scopus.com/authid/detail.url?authorId=7003602195
"Dong, Andy",12,2017,268,22.3,4.44,25.0,7006551272,https://www.scopus.com/authid/detail.url?authorId=7006551272
"Lam, Nelson",12,2021,81,6.8,0.74,27.0,7101750717,https://www.scopus.com/authid/detail.url?authorId=7101750717
"Ball, Kylie",12,2021,214,17.8,1.90,74.0,7101771723,https://www.scopus.com/authid/detail.url?authorId=7101771723
"Williamson, Terence",12,2021,203,16.9,2.29,15.0,7102228431,https://www.scopus.com/authid/detail.url?authorId=7102228431
"Gilbert, Catherine",12,2021,53,4.4,1.18,4.0,7201382636,https://www.scopus.com/authid/detail.url?authorId=7201382636
"Wilson, Clevo",12,2021,169,14.1,1.51,28.0,7404894763,https://www.scopus.com/authid/detail.url?authorId=7404894763
"Boruff, Bryan J.",12,2021,291,24.3,1.68,24.0,7801342852,https://www.scopus.com/authid/detail.url?authorId=7801342852
"Kupke, Valerie",12,2016,42,3.5,0.40,6.0,8836744800,https://www.scopus.com/authid/detail.url?authorId=8836744800
"Vella, Karen J.",12,2021,187,15.6,3.07,12.0,9743483700,https://www.scopus.com/authid/detail.url?authorId=9743483700

"© 2022 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
